43,64779400177661854034873799903314322
42,69591662395381780615103553228002598
26,70014260107644523752688687578724820
41,69877798900431056448136227986908294
27,71501620128092360631456181031712642
63,69591662395381780615103553228002598
25,69907636606093039452181668490103160
24,69900798133969808081795365512910652
40,69898590148008546621483692819810530
57,70014260107644523752688687578724820
62,69877798900431056448136227986908294
23,69900366294225613294781672434033596
39,69900206051532142912399676013689900
38,69900326365042264979907734855246532
61,69898590148008546621483692819810530
56,69907636606093039452181668490103160
22,69900337569444032295442186901025226
37,69900334783095504845062704277767052
55,69900798133969808081795365512910652
60,69900206051532142912399676013689900
54,69900366294225613294781672434033596
59,69900326365042264979907734855246532
53,69900337569444032295442186901025226
9,69900335398083815516319313688731906
19,69900335349555839579292493828546782
21,69900335547846006041679371560085320
8,69900335328233924344812728319503164
18,69900335368078834956467921703265118
58,69900334783095504845062704277767052
17,69900335122891121148705225230123398
51,69900335349555839579292493828546782
52,69900335547846006041679371560085320
35,69900335398083815516319313688731906
7,69900334600563059838669996201942368
16,69900332032855260893460923559944746
6,69900325893201490519119134374956636
15,69900293958794128992711868882582300
5,69900223605935085834680852912532868
50,69900335368078834956467921703265118
14,69899825479448323902241447338909676
49,69900335122891121148705225230123398
34,69900335328233924344812728319503164
4,69899012650111867529420422420833930
13,69893867860994720859992655647325588
33,69900334600563059838669996201942368
48,69900332032855260893460923559944746
3,69883696805863320857529790930141568
12,69812797334525738135097233271462302
47,69900293958794128992711868882582300
32,69900325893201490519119134374956636
31,69900223605935085834680852912532868
46,69899825479448323902241447338909676
2,69671401174868128640087694934394050
11,68659989561092126688830845269129990
10,53210969546891641733886064458502928
1,66727367726631245974890858592842424
0,33363683863315622987445429296421213
45,69893867860994720859992655647325588
30,69899012650111867529420422420833930
44,69812797334525738135097233271462302
29,69883696805863320857529790930141568
28,69671401174868128640087694934394050
65,68659989561092126688830845269129990
36,53210969546891641733886064458502928
20,33363683863315622987445429296421213
64,66727367726631245974890858592842424
